"b_pred","beta[1]"
0.299015879487023,-0.027567678203325
0.28310501202285,-0.0276774939782084
0.324929605150326,-0.0277969935355892
0.306080005136712,-0.0277624601489872
0.0675674637210147,-0.0286087598222605
0.0798359455050743,-0.0273369004404575
0.0467355652237817,-0.0291967425320322
-0.0647038325964894,-0.0312905094171593
-0.127313562548119,-0.0319417927419866
-0.144192832298584,-0.0321689964889673
-0.123090302173334,-0.0320030625618797
-0.137881192097684,-0.0313152955965028
-0.0478790229498336,-0.0312513180001674
-0.131549814924059,-0.0315859339271034
-0.22513474784545,-0.0317610512730891
-0.311344954796168,-0.0350750731333606
-0.272343809658483,-0.0352761820793454
-0.285773024408411,-0.0352459912144226
-0.196367595834274,-0.0354651361605497
-0.0944283269697971,-0.0354651361605497
-0.109284666113758,-0.0352376585801428
-0.159057049381363,-0.0354594470288895
-0.203908488716452,-0.0352076194526316
-0.412996666460089,-0.0345863443355572
-0.387294214195109,-0.034884949400825
-0.396485262101872,-0.0349244686690728
-0.394121131338735,-0.0355043847278993
-0.292300193391423,-0.0352030547754224
-0.264200298387779,-0.0355619412908834
-0.273082184174476,-0.0356772613358566
-0.23897713356844,-0.0352661090060832
-0.135207745568222,-0.0352407461674263
-0.123355671813982,-0.0352791929389131
-0.129084256548519,-0.0354738454392038
-0.0918223128949101,-0.0354738454392038
-0.118593062964027,-0.0354738454392038
-0.207146065578039,-0.0354738454392038
-0.144692242434302,-0.0349099378582951
-0.0872913577587929,-0.0330916682043668
-0.11325686090068,-0.0338297370971751
-0.165290358698858,-0.0330076407777497
-0.159544709065856,-0.0335282535758761
-0.148876837575324,-0.0338895047893301
-0.0704819304034703,-0.0338895047893301
-0.240480707038898,-0.0338895047893301
-0.239076734015642,-0.0338895047893301
-0.269984116103064,-0.0338646723013585
-0.266184107587775,-0.0347770225827077
-0.364708031001274,-0.0342121387361809
-0.418568122845848,-0.028538536630123
-0.559963562982229,-0.0279734408489915
-0.603088270332635,-0.0267094482401794
-0.439874085194933,-0.0258431189054453
-0.464525507904285,-0.0284934919605264
-0.257999753229437,-0.0300112579454287
-0.395890527059404,-0.0302165634501827
-0.320521648208111,-0.0327353120839036
-0.284651221248586,-0.0306063797590702
-0.276816880395492,-0.0322147792990493
-0.277020968397598,-0.0313267416286953
-0.332303235174836,-0.0307022777352748
-0.344931068963944,-0.0316240984344703
-0.324520803914844,-0.0316240984344703
-0.347853747604394,-0.0332889492876701
-0.387143598803276,-0.0333131759110395
-0.275075805489161,-0.0322961027937223
-0.134071747170483,-0.0336124711643043
0.0553300742945751,-0.0334116005736161
0.0785600119740991,-0.0336394361969643
0.0905886890962708,-0.0339524645940239
0.0131404378173367,-0.0332681511652968
-0.0310150402140211,-0.0341985994891986
0.10806021439818,-0.0339921902565907
-0.00768440157109369,-0.0335730432439373
0.184497675001001,-0.035566205733152
0.177299361397044,-0.0364685706626068
0.00805339169373746,-0.0403204013483235
0.0911539131458043,-0.0401356681821931
0.139256567377915,-0.0403357700987869
0.0800024662359639,-0.0410556134827285
0.200413392787804,-0.0407781234982761
0.203997204026797,-0.0396102332397794
0.19200418247852,-0.0377030714574416
-0.190558698393739,-0.0381479563616726
-0.169943946521691,-0.0360822687754053
-0.0924797519955008,-0.0363230081596993
-0.110420412714161,-0.0388931731208395
-0.145059927710721,-0.0369162018651852
-0.128729241820288,-0.0339952814900061
-0.0881463516678907,-0.0337714501917449
0.19982670958336,-0.0338758195630346
0.240877747318515,-0.036095340559982
0.263836504715498,-0.0368651911074315
0.263303450856297,-0.0377985279761846
0.196609892031448,-0.0375801450854452
0.145023347325148,-0.0389833463190086
0.136974387835519,-0.0378000423969974
0.157225243311779,-0.0379768630007182
0.244946295944848,-0.0380002495601426
-0.154612161824659,-0.0386224749611529
-0.189311194075871,-0.0355716531956226
-0.0129140815988019,-0.0382929103372689
-0.0774523187456053,-0.0371732780166483
0.0832822178648691,-0.0376652186188281
0.100421703084912,-0.036964497338552
0.204413034495642,-0.0346131336496448
0.0881359837028185,-0.0397134376297
0.0311289518593777,-0.0451437542632687
-0.144865919408787,-0.0427986475847193
-0.199116343506578,-0.0327466027277068
-0.0908473394961815,-0.0335624688039249
-0.0299807729008522,-0.0313762202074238
-0.0697928474620995,-0.032677952652142
-0.0473814791964126,-0.0324646322664753
-0.0866613909347882,-0.0331361115087096
-0.042152619625239,-0.0349518176515098
0.0295931126245778,-0.0346805778161643
-0.00597400592617678,-0.0354637013503635
0.0363351294622726,-0.0319542336505291
-0.0179614457915024,-0.0315484978739327
-0.0732022347312082,-0.0324898605954796
-0.110904531563948,-0.0321091710010257
-0.0671514289672716,-0.0344062746075012
-0.0832770845179918,-0.0341689644721371
-0.0499665715778514,-0.0298708901200834
0.0104975532950473,-0.0316871190552602
-0.209067398685716,-0.0320634882203692
0.0295403792637695,-0.0326535845701823
0.00163715098802681,-0.0328403351661576
0.00475154791560018,-0.0329719692521575
-0.0258310375262892,-0.0328059177469523
-0.0309804388059637,-0.0331339918653861
-0.0559594601497419,-0.0323408318958998
-0.0831741180896356,-0.0305750671673948
-0.109001172162737,-0.0303968337099501
-0.0892582853076199,-0.0310793507955132
-0.0471123275494772,-0.0315560349217287
-0.023819302003275,-0.0324084229288622
-0.340901651040308,-0.0329126554773998
-0.0581235533005311,-0.0316315559602624
