"b_Intercept","alpha"
155.242804391662,149.256391683507
154.39187498397,149.254749610118
154.031174085137,149.253229831559
154.905598367398,149.253472246573
154.30120784906,149.252651409363
155.419244646389,149.25442058348
155.015238167652,149.250891009198
144.202261826851,149.251589598964
144.254550453865,149.24903763189
144.213822213798,149.249697478081
143.049649812423,149.253495797262
142.373451915019,149.253325267688
143.232151915086,149.252915291403
143.258684391839,149.26103974907
143.473920910676,149.262131323425
143.133279039846,149.263296940798
144.085582193848,149.261143574529
143.977397091043,149.257745646998
144.855192887842,149.255758602083
145.49456097195,149.255694608452
145.259552945531,149.255367698158
145.31551528405,149.255857131282
145.362849376823,149.261248784692
145.006556186452,149.261732001901
145.176229809466,149.261457230834
143.684671312511,149.261771441191
144.374469388321,149.261947571233
146.941678809944,149.263090514297
146.660497886197,149.264689821931
145.967826220234,149.265468126502
145.630807853302,149.265245783109
144.941435991576,149.266672865864
145.271308031035,149.266058135076
145.039328239848,149.260228164742
144.870247845659,149.259144215295
144.821129989778,149.258747455972
144.421015808395,149.261123329303
144.402302765422,149.260605243207
144.053675771855,149.261854120932
144.481862141918,149.268816929867
145.004004628417,149.268176115439
145.46490526498,149.268103270143
145.253820200517,149.269992786732
145.474039884261,149.26681070014
144.922269246211,149.266164296094
145.685339807132,149.256811588717
145.402932963066,149.253819617776
147.426023227694,149.257232930141
142.190759488452,149.260112981362
137.040545350307,149.258777043282
136.600770271551,149.258091221681
136.376137470437,149.259303003957
135.891343951275,149.256066339487
135.325153128727,149.260449436236
135.08692672854,149.258611298522
135.108285506548,149.259820659017
134.999640180196,149.259105773989
135.712538502195,149.262618207324
135.422996429704,149.264142781716
134.970842035472,149.2592559796
133.956613901147,149.2592559796
135.474121089032,149.259332244387
135.72077388364,149.259130318081
135.442464690006,149.259130318081
138.023582843856,149.257394791908
139.092362454459,149.25639988342
138.656460401267,149.255861148263
137.873427632303,149.255429118257
138.100984420722,149.255794326246
138.081967807903,149.257251134907
137.983677536245,149.259717879139
137.345907511396,149.261660957039
137.354964021683,149.260684105617
138.513480396184,149.261393386196
143.316404368079,149.261311884849
145.31456594725,149.260000557916
143.072894700224,149.261687948621
143.609782993978,149.261687948621
143.617584220234,149.261908348506
154.251702413446,149.26171771216
159.685011325819,149.261638979155
159.771164035717,149.262042001221
160.140218531079,149.26231366474
160.883355999402,149.260903657077
160.895395503143,149.265344088202
161.141168495861,149.255963147032
161.692699691497,149.256063237911
162.631239857365,149.255264445563
162.75656982593,149.256287913722
163.293962239123,149.256287913722
163.178103782331,149.255202409992
163.468651140897,149.256950010324
163.634008930595,149.256995286095
163.166412607288,149.257675325686
163.197568757556,149.258001371248
163.213963052906,149.268290427726
165.196342411495,149.265254446976
164.42183884494,149.266665731882
164.43724454635,149.266648923393
164.241077758478,149.266728393548
163.876835095281,149.266364289447
163.968425584004,149.266609439202
163.461219371955,149.265516055542
162.828360342886,149.265792323758
163.035910891522,149.265188866095
162.987220226693,149.265877677942
163.142157392025,149.261039734896
162.880750058308,149.257083707324
160.966664380335,149.254934356737
158.345866043523,149.256365012598
161.147704711363,149.256667192039
162.098109088579,149.259362561666
162.671405915262,149.258902962433
162.249460092015,149.260348504506
156.678123534531,149.25822113006
156.663849635674,149.258095283152
156.548200816631,149.258284071541
156.440470709166,149.258990306742
154.486089996491,149.259739211081
145.624585216232,149.260589186066
144.437968497299,149.265591102214
144.179664783518,149.263978467354
143.018612583652,149.26501697662
143.524256893354,149.265294268092
143.518229877609,149.265408459218
142.826310829699,149.263873950769
142.905326354645,149.264110950934
143.659382046263,149.264887948765
143.081590283293,149.264235502227
143.004427390306,149.264638739216
142.726998653025,149.264803559289
142.788927045336,149.264803559289
145.866377899412,149.264803559289
146.143593311947,149.263716373942
146.927091274593,149.263276861722
148.502696161965,149.262832054729
148.518908348133,149.262732415926
148.085947961646,149.262968484363
150.053345475062,149.263803838096
149.612274064886,149.262542616012
149.513978240309,149.259132716476
149.179841379829,149.260434527747
148.877238708803,149.259943473509
148.52327230926,149.262165117702
148.163062002983,149.261325636272
151.804783522477,149.264336658926
152.463704607161,149.267747178617
154.973819931832,149.267443275969
154.831673393948,149.26739079037
153.726739986144,149.268991308595
149.677587589152,149.269427997683
149.401674389987,149.269427997683
149.829368107323,149.269682399254
150.006974228099,149.269228959629
149.677534381295,149.270813216374
150.371420684446,149.270182463138
150.470074943485,149.269624346344
150.607129202046,149.269202778161
150.403075980767,149.271769810496
150.389520973989,149.273481342684
149.870573023589,149.272974503562
150.191185519986,149.276730241771
149.271420524439,149.273546604346
149.49782799991,149.270910825515
149.598994909044,149.268550741486
150.627128693456,149.26691461184
149.006817544884,149.26634614391
149.472228954915,149.2699019179
148.755841283869,149.271005443763
149.135112495379,149.270432593001
148.698830654427,149.276183056186
149.041457437498,149.27633482104
149.460278498669,149.274389557298
151.798927558349,149.276886010928
151.268622695786,149.274885982896
149.840025362011,149.274463760882
149.503408444901,149.267013862722
149.511045323883,149.26683395934
149.649689206684,149.267395365272
148.409620200518,149.269239637196
147.018039469419,149.268738707867
146.093552255853,149.264756440359
146.8527856049,149.26406621433
146.278325049758,149.264889789782
145.454398037367,149.267026939015
146.151738111991,149.268010456481
146.952478016353,149.268778370206
151.076728431527,149.268187786194
151.517579302671,149.266583497038
150.683788372809,149.267545095087
149.981439816386,149.270863011755
150.645853707155,149.269100223774
150.379884130853,149.268901237231
149.774844460202,149.269209577489
150.226407136594,149.27022092139
150.249161319025,149.270345336958
150.346750943566,149.27086888526
157.399545764531,149.269789156036
155.68732144776,149.269878972741
155.454730490092,149.269397213418
155.534553630571,149.272723673577
155.504719814615,149.272679194896
155.513129011808,149.273671579399
158.133915320203,149.277296471968
158.216928544224,149.276826769405
157.98075140745,149.276546378307
157.66263076859,149.277232047057
143.677848258293,149.27763852751
143.517595094282,149.278139943708
142.738682433388,149.277659991665
142.919260833129,149.277780985565
142.193776315122,149.279289687542
142.127599767059,149.278872856648
144.739141506019,149.280472686721
143.783798486454,149.280472686721
141.183179745136,149.280472686721
141.731397866912,149.280472686721
141.83889474499,149.282022560883
142.165454834706,149.282022560883
142.941226966874,149.282022560883
143.293481479075,149.281333222693
143.499406735499,149.279210023949
143.054297472814,149.278651204346
144.287252788826,149.277788127856
145.415367672713,149.277548706816
147.462990737714,149.277067927875
146.794658778833,149.277036225991
146.157944738952,149.277036225991
144.593438000391,149.2771118439
143.431885931106,149.277584474016
144.619978261186,149.275990975546
144.195188803758,149.274693870529
145.059394028856,149.271099422969
145.380551923406,149.269328648502
146.535199706107,149.26939495969
146.698346903255,149.270024712208
145.94415192791,149.270352489396
144.79320620786,149.269739761622
145.131389655193,149.267016034124
144.866949080488,149.268555700365
144.640518644474,149.265647240215
146.221945767416,149.268974587899
146.634899665771,149.26835414366
146.094283877719,149.273554867116
146.436430980841,149.272745995619
145.957150877069,149.276815362735
155.825846612183,149.2804827029
156.909589956616,149.278811829737
157.35291425888,149.28031144172
153.151358457897,149.278112298578
152.925092845067,149.283308967232
152.257358982821,149.283643274323
152.042945269281,149.283451924531
152.036925041816,149.282450570965
151.567366276972,149.284994745773
152.510843846314,149.287125963541
154.024985858747,149.28732772841
153.839616174711,149.287440970197
152.860770885988,149.288658470441
147.674749676267,149.285374717841
148.700022093238,149.286528550372
149.109623622632,149.286391235627
149.33445343889,149.285167479689
148.410018677952,149.284744944656
148.151754753628,149.283340357429
148.166961579657,149.282578823235
146.892485527127,149.282578823235
146.437120571543,149.282167167075
146.216336081506,149.282167167075
146.748853683324,149.282167167075
146.288634094532,149.282167167075
146.421289188896,149.282179411966
146.707204600767,149.282179411966
146.895743877068,149.281387144703
146.029338864717,149.281387144703
146.254727671483,149.281509776986
146.554867741917,149.280728041659
146.236501842188,149.280728041659
146.558891363297,149.2779957705
147.056291892462,149.277499660912
146.731751061961,149.278172044371
145.974957736926,149.281023852554
146.500784085403,149.281462749214
145.753912862275,149.283008162479
